"No.","Time","Source","Destination","Protocol","Length","Info","Tcp Flags","Source MAC Address","Destination MAC","Source IP ARP","Destination IP ARP","Time to live","Flags","Delta time","Frame length"
"466","2025-04-18 19:45:45.204137","104.18.41.183","192.168.1.13","TCP","1494","443  >  50502 [PSH, ACK] Seq=112925 Ack=3590 Win=81920 Len=1440 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"467","2025-04-18 19:45:45.204246","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=114365 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000109000","54"
"468","2025-04-18 19:45:45.207053","104.18.41.183","192.168.1.13","TCP","1494","443  >  50502 [ACK] Seq=114365 Ack=3590 Win=81920 Len=1440 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.002807000","1494"
"469","2025-04-18 19:45:45.207053","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"470","2025-04-18 19:45:45.207125","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=117245 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000072000","54"
"471","2025-04-18 19:45:45.211660","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation","","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x0000","0.004535000","103"
"472","2025-04-18 19:45:45.211811","192.168.1.13","1.52.248.227","UDP","98","61532  >  51704 Len=56","","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x0000","0.000151000","98"
"473","2025-04-18 19:45:45.214650","104.18.41.183","192.168.1.13","TCP","1494","[TCP Out-Of-Order] 443  >  50502 [ACK] Seq=38640 Ack=3590 Win=81920 Len=1440[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.002839000","1494"
"474","2025-04-18 19:45:45.214650","104.18.41.183","192.168.1.13","TCP","1494","[TCP Out-Of-Order] 443  >  50502 [ACK] Seq=40080 Ack=3590 Win=81920 Len=1440","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"475","2025-04-18 19:45:45.214650","104.18.41.183","192.168.1.13","TCP","1494","[TCP Out-Of-Order] 443  >  50502 [PSH, ACK] Seq=41520 Ack=3590 Win=81920 Len=1440","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"476","2025-04-18 19:45:45.214751","192.168.1.13","104.18.41.183","TCP","66","[TCP Dup ACK 470#1] 50502  >  443 [ACK] Seq=3590 Ack=117245 Win=131584 Len=0 SLE=38640 SRE=40080","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000101000","66"
"477","2025-04-18 19:45:45.214806","192.168.1.13","104.18.41.183","TCP","66","[TCP Dup ACK 470#2] 50502  >  443 [ACK] Seq=3590 Ack=117245 Win=131584 Len=0 SLE=40080 SRE=41520","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000055000","66"
"478","2025-04-18 19:45:45.214818","192.168.1.13","104.18.41.183","TCP","66","[TCP Dup ACK 470#3] 50502  >  443 [ACK] Seq=3590 Ack=117245 Win=131584 Len=0 SLE=41520 SRE=42960","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000012000","66"
